Survived,Pclass,Sex,Fare,Embarked,Deck,Relatives,Isalone,Title,Age_Class,Age_Pclass,FarePerPerson
0,3,1,1,2,9,1,0,1,3,9,0
1,1,0,4,0,3,1,0,3,6,6,2
1,3,0,2,2,9,0,1,2,4,12,2
1,1,0,4,2,3,1,0,3,6,6,2
0,3,1,2,2,9,0,1,1,6,18,2
0,3,1,2,1,9,0,1,1,6,18,2
0,1,1,4,2,5,0,1,1,7,7,4
0,3,1,3,2,9,4,0,4,1,3,0
1,3,0,2,2,9,2,0,3,4,12,0
1,2,0,3,0,9,1,0,3,2,4,1
1,3,0,3,2,7,2,0,2,1,3,1
1,1,0,3,2,3,0,1,2,7,7,3
0,3,1,2,2,9,0,1,1,3,9,2
0,3,1,4,2,9,6,0,1,6,18,0
0,3,0,1,2,9,0,1,2,2,6,1
1,2,0,3,2,9,0,1,3,7,14,3
0,3,1,3,1,9,5,0,4,1,3,0
1,2,1,2,2,9,0,1,1,6,12,2
0,3,0,3,2,9,1,0,3,5,15,1
1,3,0,1,0,9,0,1,3,6,18,1
0,2,1,3,2,9,0,1,1,6,12,3
1,2,1,2,2,4,0,1,1,6,12,2
1,3,0,2,1,9,0,1,2,2,6,2
1,1,1,4,2,1,0,1,1,5,5,4
0,3,0,3,2,9,4,0,2,1,3,0
1,3,0,4,2,9,6,0,3,6,18,0
0,3,1,1,0,9,0,1,1,4,12,1
0,1,1,6,2,3,5,0,1,3,3,1
1,3,0,1,1,9,0,1,2,4,12,1
0,3,1,1,2,9,0,1,1,3,9,1
0,1,1,3,0,9,0,1,5,6,6,3
1,1,0,5,0,2,1,0,3,5,5,2
1,3,0,1,1,9,0,1,2,2,6,1
0,2,1,2,2,9,0,1,1,7,14,2
0,1,1,4,0,9,1,0,1,5,5,2
0,1,1,4,2,9,1,0,1,7,7,2
1,3,1,1,0,9,0,1,1,6,18,1
0,3,1,2,2,9,0,1,1,3,9,2
0,3,0,3,2,9,2,0,2,2,6,1
1,3,0,2,0,9,1,0,2,2,6,1
0,3,0,2,2,9,1,0,3,6,18,1
0,2,0,3,2,9,1,0,3,4,8,1
0,3,1,1,0,9,0,1,1,6,18,1
1,2,0,4,0,9,3,0,2,1,2,1
